Order,Species,AdultBodyMass,Temperature,SexualMaturityAge,TrophicLevel,NeonateBodyMass,GestationLen,SocialGrpSize,WeaningAge,Social
Artiodactyla,dromedarius,492714.47,,5.33682191781,1.0,36751.19,386.51,10.0,1.06679452055,False
Carnivora,adustus,10392.49,23.651,0.684602739726,2.0,,65.0,,0.144904109589,
Carnivora,aureus,9658.7,21.723,1.01706849315,2.0,211.82,61.24,,0.167945205479,
Carnivora,latrans,11989.1,5.818,1.02164383562,3.0,200.01,61.74,,0.119753424658,
Carnivora,lupus,31756.51,0.482,1.86128767123,3.0,412.31,63.5,,0.122794520548,
Artiodactyla,frontalis,800143.05,22.971,1.67389041096,1.0,22977.05,273.75,40.0,0.511424657534,False
Artiodactyla,grunniens,500000.0,-5.931,2.06890410959,1.0,,273.75,110.0,0.666657534247,False
Artiodactyla,javanicus,635974.34,23.918,2.1844109589,1.0,,296.78,40.0,0.788328767123,False
Primates,cupreus,1117.02,25.536,,,73.6,129.25,2.05,0.55301369863,False
Primates,discolor,,,,,,,,,
Primates,donacophilus,897.67,24.432,,,,,1.0,,True
Primates,dubius,992.4,,,,,,1.0,,True
Primates,hoffmannsi,1067.61,25.818,,,,,1.0,,True
Primates,lucifer,,,,,,,,,
Primates,lugens,,,,,,,,,
Primates,medemi,,29.208,,,,,,,
Primates,melanochir,,23.278,,,,,,,
Primates,modestus,992.4,22.542,,,,,1.0,,True
Artiodactyla,bactrianus,554515.91,5.372,3.64547945205,1.0,34346.64,397.99,6.2,1.00857534247,False
Artiodactyla,sauveli,791321.76,25.145,2.06890410959,1.0,,,20.0,,False
Artiodactyla,taurus,618642.42,22.873,2.06890410959,,,280.48,,,
Artiodactyla,tragocamelus,182253.04,24.74,,1.0,5875.0,248.49,,,
Rodentia,przewalskii,,6.834,,,,,,,
Carnivora,mesomelas,8247.3,21.333,0.661369863014,2.0,177.2,62.5,,0.0934246575342,
Carnivora,simensis,14361.86,9.903,2.06778082192,3.0,,63.61,,0.190684931507,
Rodentia,badius,472.07,21.364,,,,41.49,,0.137260273973,
Rodentia,canus,,10.316,,,,,,,
Artiodactyla,caucasica,58149.52,-0.989,2.78082191781,,,155.0,,,
Artiodactyla,falconeri,54303.37,10.854,2.78082191781,1.0,,167.98,,0.458328767123,
Artiodactyla,hircus,47386.47,,1.36704109589,1.0,2136.11,156.0,,0.43298630137,
Artiodactyla,ibex,69546.83,4.276,2.29736986301,1.0,2779.07,167.5,,0.306164383562,
Primates,belzebuth,6692.42,25.768,,1.0,,138.2,14.5,,False
Primates,chamek,7053.92,25.497,,1.0,,,,,
Primates,fusciceps,9067.94,24.081,4.93063013699,1.0,499.99,224.7,,1.32246575342,
Primates,geoffroyi,7582.4,24.316,5.76594520548,1.0,425.85,226.37,42.0,2.23657534247,False
Primates,hybridus,,25.557,,,,,,,
Primates,marginatus,6229.28,25.271,,1.0,,,,,
Primates,paniscus,8697.25,25.577,5.76594520548,2.0,478.64,228.18,20.0,2.20660273973,False
Primates,moloch,958.13,24.608,3.45956164384,2.0,74.4,164.0,2.95,0.161232876712,False
Primates,nigrifrons,,20.37,,,,,,,
Primates,oenanthe,992.4,22.05,,,,,1.0,,True
Primates,olallae,992.4,22.542,,,,,1.0,,True
Primates,ornatus,,20.93,,,,,,,
Primates,pallescens,,25.842,,,,,,,
Primates,personatus,1390.8,21.234,,1.0,,,2.35,,False
Primates,purinus,,,,,,,,,
Primates,regulus,,,,,,,,,
Primates,stephennashi,,,,,,,,,
Primates,torquatus,1209.57,,4.61273972603,2.0,,,3.85,0.333315068493,False
Primates,goeldii,558.0,25.978,1.13380821918,2.0,50.5,153.99,6.85,0.182273972603,False
Rodentia,pictus,518.99,23.911,,,,,,,
Primates,acariensis,,24.616,,,,,,,
Primates,argentata,382.92,25.442,1.92197260274,2.0,35.8,,9.5,,False
Primates,aurita,386.2,18.819,,2.0,,140.0,6.0,,False
Primates,chrysoleuca,,25.862,,,,,,,
Primates,emiliae,309.58,24.926,,,,,,,
Primates,flaviceps,372.97,20.081,,2.0,,140.0,9.8,,False
Primates,geoffroyi,342.0,21.605,,,,,,,
Primates,humeralifera,374.99,25.866,,2.0,34.5,,8.5,0.271260273973,False
Primates,humilis,,26.007,,,,,,,
Primates,intermedia,,24.952,,,,,11.5,,False
Primates,jacchus,290.21,24.992,1.24928767123,2.0,27.74,144.0,8.55,0.16504109589,False
Primates,kuhlii,374.99,22.994,,2.0,,,,,
Primates,leucippe,,25.12,,,,,,,
Primates,manicorensis,,26.053,,,,,,,
Primates,marcai,,24.387,,,,,,,
Primates,mauesi,443.79,26.1,,2.0,,,,,
Primates,melanura,,24.335,,,,,,,
Primates,nigriceps,401.12,25.661,,2.0,,,,,
Primates,penicillata,339.98,21.992,,,,,5.9,,False
Primates,pygmaea,123.94,25.647,1.94109589041,2.0,14.5,134.44,6.0,0.248575342466,False
Primates,saterei,,26.068,,,,,,,
Carnivora,ursinus,55464.82,,4.61273972603,2.0,5354.8,358.49,,0.297780821918,
Rodentia,adamsi,208.72,23.552,,2.0,,,,,
Rodentia,albescens,,25.245,,,,,,,
Rodentia,baluensis,323.91,22.605,,2.0,,,,,
Rodentia,caniceps,264.91,24.901,,,,,,,
Rodentia,erythraeus,283.23,18.89,,1.0,,,,,
Rodentia,finlaysonii,,25.025,,,,,,,
Rodentia,inornatus,,19.819,,,,,,,
Rodentia,melanogaster,296.0,25.9,,2.0,,,,,
Rodentia,nigrovittatus,208.3,24.829,,2.0,,,,,
Rodentia,notatus,209.49,24.857,1.13380821918,2.0,,,,,
Rodentia,orestes,323.91,22.326,,2.0,,,,,
Rodentia,phayrei,,17.82,,,,,,,
Rodentia,prevostii,400.0,24.844,,2.0,16.34,46.08,,,
Rodentia,pygerythrus,,21.469,,,,,,,
Rodentia,quinquestriatus,,7.919,,,,,,,
Rodentia,boliviae,27.0,13.445,,,,,,,
Rodentia,callidus,27.0,,0.0371780821918,,,,,,
Rodentia,callosus,44.95,,0.118301369863,,2.4,21.8,,0.0502191780822,
Rodentia,expulsus,39.86,,,,,,,,
Rodentia,hummelincki,27.0,25.83,,,,,,,
Rodentia,laucha,14.0,19.833,,2.0,,25.0,,,
Rodentia,lepidus,20.59,6.719,,,2.0,,,,
Rodentia,musculinus,20.2,14.566,0.208301369863,2.0,,20.97,,,
Rodentia,sorellus,20.0,7.089,,,,,,,
Rodentia,tener,13.8,20.769,,,,,,,
Rodentia,tocantinsi,,,,,,,,,
Rodentia,venustus,49.33,,,,,,,,
Rodentia,bailwardi,21.38,13.014,,,,,,,
Rodentia,baluchi,,6.353,,,,,,,
Rodentia,elburzensis,,11.802,,,,,,,
Rodentia,grandis,,,,,,,,,
Rodentia,hotsoni,,20.75,,,,,,,
Rodentia,mystax,,,,,,,,,
Rodentia,tsolovi,,17.1,,,,,,,
Rodentia,urartensis,,9.145,,,,,,,
Diprotodontia,campestris,927.57,,,,,,,,
Carnivora,microtis,8363.22,23.549,,3.0,,,1.0,,True
Rodentia,africanus,2875.65,24.077,,2.0,146.27,108.18,1.0,0.124301369863,True
Rodentia,macrourus,2000.0,21.583,,2.0,,,,,
Carnivora,paludinosus,3600.16,23.339,0.643369863014,2.0,100.0,77.27,,0.0983287671233,
Rodentia,getulus,250.57,15.601,,,,,,,
Rodentia,boliviensis,70.91,7.172,,,,,,,
Rodentia,pictus,48.97,8.066,,,,,,,
